Word,Grammar Point,Sentence,Translated Sentence,Definitions,Notes
,不仅……而且/还/也,我**不仅**带孩子们去攀岩了，**还**跟女儿一起涂了彩色的指甲油。,"I not only took the kids climbing, but also painted my nails in many colors with my daughter.",Not only... but also,"Explanation: ""攀岩"" (pānyán) means rock climbing."
,从来 + 不/没,我妻子**从来不**看恐怖片，所以我晚上自己一个人看。,"My wife never watches horror movies, so I watch them alone at night.",Never,"Explanation: ""从来不"" indicates a habit/rule (never does), whereas ""从来没...过"" indicates experience (has never done)."
,刚 / 刚才,我**刚**开始准备考试，虽然考试看起来还很远，但时间过得很快。,"I have just started preparing for the exam; although it seems far away, time passes quickly.",Just now,"Grammar usage: 刚

Explanation: ""刚"" is an adverb and must go after the subject. ""刚才"" is a time noun and can go before or after the subject."
,刚 / 刚才,**刚才**我头疼得厉害，所以没去上攀岩课。,Just now my head hurt so much that I didn't go to the climbing class.,Just now,"Grammar usage: 刚才

Explanation: ""刚"" is an adverb and must go after the subject. ""刚才"" is a time noun and can go before or after the subject."
,即使……也,**即使**我不怎么想去参加我妻子教女的生日聚会，但多陪陪家人**也**很重要。,"Even if I didn't feel like going to my wife's goddaughter's birthday, it's important to spend time with family.",Even if... still,"Explanation: ""教女"" (jiàonǚ) is goddaughter."
,(在)……上,**在**准备考试**上**，有很多内容需要安排。,"In terms of exam preparation, there are many things to organize.",In terms of,
,正好,晚上我有了自己一个人的时间，**正好**可以好好放松一下。,"At night I had time for myself, which was just what I needed to relax.","Just, precisely",
,差不多,考试在十月，**差不多**还有五个月的时间准备。,"The exam is in October, so there are almost five months left to prepare.","Almost, about",
,几乎,头疼得让我觉得很晕，**几乎**没办法集中注意力。,The headache made me so dizzy that I could almost not concentrate.,Almost,
,尽管……但/还是/也,**尽管**晚上独自看电影看起来有些孤单，**但**一个人享受也挺好的。,"Although watching a movie alone at night might seem lonely, it's nice to enjoy it without anyone else.",Although...,
,却,我以为去参加生日聚会挺无聊的，最后和家人在一起**却**觉得很开心。,"I thought I wouldn't have fun at the birthday party, but in the end I had a great time with the family.","But, yet, however","Explanation: ""却"" is an adverb and is placed after the subject."
,而,我的孩子和妻子不喜欢看恐怖片，**而**我却很喜欢。,"My kids and wife don't like horror movies, whereas I love them.","Whereas, but",
,挺……的,女儿给我涂了彩色的指甲油，我觉得**挺**有意思**的**。,My daughter painted my nails in many colors; I found it quite fun.,Quite...,
,本来,我**本来**不怎么想去参加我妻子教女的生日聚会，但因为家人很重要，我还是去了。,"Originally I didn't really want to go to my wife's goddaughter's birthday party, but I went because family is important.",Originally,
,另外,一方面我要准备考试，**另外**，我还得带孩子们去攀岩。,"On one hand, I have to prepare for the exam; on the other hand, I need to take the kids climbing.","In addition, other",
,首先……其次……,为了好好准备考试，**首先**我得制定一个时间表，**其次**要每天复习词汇。,"To prepare well for the exam, first I must make a schedule, and second, review vocabulary every day.",First... second...,
,不管,**不管**多累，我都想多花时间陪陪孩子们。,"No matter how tired I am, I always try to spend time with my kids.",No matter,
,以为,我**以为**十月的考试还很远，没想到时间过得这么快。,"I thought (mistakenly) that the October exam was still far away, but time flies.",Thought mistakenly,
,原来,我刚才不知道为什么他没去上攀岩课，**原来**是他头疼得厉害。,"At first I didn't understand why he didn't want to go to climbing class, but it turns out he had a bad headache.","As it turns out, originally",
,原来 / 本来,我**本来**打算去上攀岩课的，但是因为头疼没去成。,"I originally planned to go to climbing class, but I didn't go due to a headache.",Originally,Grammar usage: 本来 - Original plan/logic
,原来 / 本来,我以为她不喜欢画画，**原来**她很喜欢给我涂彩色的指甲油！,I thought she didn't like painting; it turns out she loves painting my nails in many colors!,Originally,Grammar usage: 原来 - Discovery
,原来 / 本来,**原来** / **本来**的计划是去攀岩，但我们不得不取消了。,"The original plan was to go climbing, but we had to cancel it.",Originally,Grammar usage: 原来/本来 - Adjective + 的
,并,虽然女儿给我涂了五颜六色的指甲油，但我**并**不在乎别人怎么看。,"Although my daughter painted my nails in many colors, I don't care at all what others think.",To emphasize a negation,"Explanation: ""并"" reinforces the negative statement ""不在乎"" (don't care)."
,按照,我得开始准备十月的考试，并且**按照**计划每天复习。,I need to prepare for the October exam and review every day in accordance with my plan.,"According to, in accordance with",
,甚至,我头疼得厉害，**甚至连**恐怖片**都**看不下去。,My head hurt so much that I couldn't even watch the horror movie.,"Even, to the point of",
