Note_ID,Tags,Actor,Common Words,Components,English,Frequency,HSK_2,Hanzi,ID,Image,Initial,MBP_Level,MBP_Phase,Notes,Pinyin,Scene,Set,Simplified,Sound,Tone,Tone-Location,Traditional,Translation of Words,Words_English_Sound,Words_Sound
1778227239425,migaku_import,Trunks (DBZ),"土豚, 水豚","[肉|nid1778231661031], [豕|nid1775412213993]",suckling pig,"<div class=""freq freq-basic"">basic</div>",,豚,1778227238,"<img src=""MBP_note_1778227239425.jpg"">",tu,,Unknown,"<!-- ANKI_LINKER_START -->
<div style=""margin-top:15px;padding-top:10px;border-top:1px dashed #374151;font-size:0.85em;color:#9CA3AF;line-height:1.5;""><b>Words containing 豚:</b> [海豚|nid1765404489877]</div>
<!-- ANKI_LINKER_END -->",tún,"In a pristine, futuristic banquet hall, Trunks, driven by a primal hunger, cleaves through the perfectly roasted, glistening pig flesh with his energy sword, carving it directly from a magnificent, crisp-skinned suckling pig displayed center stage. The sight of the succulent meat and the crackling skin makes his stomach rumble, a painful reminder of a future he fights to save where such delectable feasts are rare.",-ún,豚,[sound:hypertts-476f056a74b068d4e0f562fd6173e60c0ffe798813db830486503649.mp3],2,Hall or Kitchen [2],豚,"aardvark, capybara",[sound:hypertts-79368598153cb809910f16e3b7778349dd14dc9dc197d668720f0009.mp3],[sound:zh_words_c2a5b94b1e01f2fc4f7bcc4646d8504ac742c74c.mp3]
1778227239937,migaku_import,Edward Twilight (R. Pattinson),"不溶, 可溶","[水|nid1775412213887], [容|nid1768474725657]",to dissolve,"<div class=""freq freq-basic"">basic</div>",,溶,1778227273,"<img src=""MBP_note_1778227239937.jpg"">",r,,Unknown,"<!-- ANKI_LINKER_START -->
<div style='margin-top:15px;padding-top:10px;border-top:1px dashed #374151;font-size:0.85em;color:#9CA3AF;line-height:1.5;'><b>Words containing 溶:</b> [溶, 滴|nid1753045106401]</div>
<!-- ANKI_LINKER_END -->",róng,"In a stark, gleaming kitchen, Edward Twilight, brooding with a simmering intensity, watches as he carefully pours a powerful, viscous fluid from an ornate glass vessel (容) into a vast, stainless-steel sink overflowing with crystal-clear water (氵). The moment the two touch, a dramatic hiss erupts as the entire mass of water churns violently, dissolving the dark fluid into an ethereal, vanishing mist, leaving only a faint, lingering vapor of his hidden desires.",-ong,溶,[sound:hypertts-f0f1330e46fd7c91dd9c1061582b9c9e9fa59b48e8dff5d18334d2bf.mp3],2,Hall or Kitchen [2],溶,"insoluble, soluble",[sound:hypertts-a0bd6f8cef995bbb2e9cf85d5817cdd023f7593dcb9629cd645466db.mp3],[sound:zh_words_409937b6fcb9af086f214d0d592fbfcd88aa0f30.mp3]
1778227240449,migaku_import,Amidala (Natalie Portman),"沾黏, 湿黏","黍, [占|nid1775412213699]",sticky; glutinous,"<div class=""freq freq-basic"">basic</div>",,黏,1778227348,"<img src=""MBP_note_1778227240449.jpg"">",ni,,Unknown,"<!-- ANKI_LINKER_START -->
<div style='margin-top:15px;padding-top:10px;border-top:1px dashed #374151;font-size:0.85em;color:#9CA3AF;line-height:1.5;'><b>Words containing 黏:</b> [黏土|nid1751314622604]</div>
<!-- ANKI_LINKER_END -->",nián,"Amidala, in a frantic royal kitchen, desperately attempts to stir a vast cauldron of boiling, glutinous millet paste for a ceremonial feast. Her entire being becomes occupied and tangled as the syrupy 黍 clings to her hands and arms, pulling her deeper into the molasses-like goo that erupts and plasters the entire room, threatening to consume her in its inescapable stickiness.",-ian,黏,[sound:hypertts-8c21bcd7a88ef1a83b89d65e8e06dd93705e44a5a6db2174a9e536f0.mp3],2,Hall or Kitchen [2],黏,"(Tw) to stick (to sth), clammy",[sound:en_words_f2b907a5a9399e9b1e02f45ae661e7a0e5b05a61.mp3],[sound:zh_words_6a10acbaa7978daf5ec2de0ff8a721a2e6143481.mp3]
1781004427266,n1_added,Indiana Jones (Harrison Ford),"彗星, 彗星尾","[彐|nid1775412213812], [丰|nid1775412213586]",comet; broom,,,彗,1781004444,"<img src=""mbp_彗_comet.png"">",H,Unknown,Unknown,,huì,"In the Backyard, Indiana Jones (Harrison Ford) uses a pig snout trident as a broom to sweep up bales of wheat, just as a comet streaks ""ei""-ther directly overhead.",-ei,彗,[sound:hypertts-43961ede4994e6ef95f675cb38deb7a38abdca42594fd34dd5e899b6.mp3],4,Backyard [4],彗,comet; comet tail,[sound:hsk4_en_words_18.mp3],[sound:hsk4_ch_words_18.mp3]
1778227240453,migaku_import,Luke Skywalker (Matt Hamill),"去魅, 祛魅","[鬼|nid1775412214036], [未|nid1775412213865]",demon,"<div class=""freq freq-basic"">basic</div>",,魅,1778227349,"<img src=""MBP_note_1778227240453.jpg"">",m,,Unknown,"<!-- ANKI_LINKER_START -->
<div style='margin-top:15px;padding-top:10px;border-top:1px dashed #374151;font-size:0.85em;color:#9CA3AF;line-height:1.5;'><b>Words containing 魅:</b> [魅力|nid1754557381093]</div>
<!-- ANKI_LINKER_END -->",mèi,"In a desolate Backyard [4], Luke Skywalker grimly deflects a barrage of thorny, grasping branches that suddenly erupt from a hideous demon's body, which is grotesquely woven from gnarled, ancient wood. The terrifying entity, its bark-like face twisted in a silent shriek, lunges with branch-like claws, seeking to crush the young Jedi beneath its terrifyingly organic, yet monstrous, form.",-ei,魅,[sound:hypertts-5dcb49735c442dd14a72ea2f14eac04a7e0f81111f138ca40f78b3a2.mp3],4,Backyard [4],魅,"to become disenchanted, to become disenchanted",[sound:en_words_7a9b32b2b1ebf26b172995c092542b99722ba959.mp3],[sound:zh_words_7424de9afd5092bfdc071b9692d40cddbc777ac1.mp3]
1781004427269,n1_added,Wednesdey Adams (Gena Ortega),"顾忌, 忌讳","[己|nid1775412213793], [心|nid1775412213818]","fear, dread; avoid, abstain from; jealousy",,,忌,1781004445,"<img src=""mbp_忌_fear.png"">",J,Unknown,Unknown,"<!-- ANKI_LINKER_START -->
<div style='margin-top:15px;padding-top:10px;border-top:1px dashed #374151;font-size:0.85em;color:#9CA3AF;line-height:1.5;'><b>Words containing 忌:</b> [禁忌|nid1780781665005]</div>
<!-- ANKI_LINKER_END -->",jì,"In the Backyard, Wednesday Adams (Gena Ortega) shows no fear or dread as a giant snake coils around her heart, deliberately avoiding its venom and abstaining from jealousy.",-(Null),忌,[sound:hypertts-1a9ad70a34a874dbb573ed7dffee9acb324f99c1812aef7f95236d82.mp3],4,Backyard [4],忌,scruples; taboo,[sound:hsk4_en_words_19.mp3],[sound:hsk4_ch_words_19.mp3]
1781004427273,n1_added,Indiana Jones (Harrison Ford),"强悍, 悍勇","[忄|nid1775412213819], [干|nid1775412213798]","brave, fierce; valiant",,,悍,1781004446,"<img src=""mbp_悍_brave.png"">",H,Unknown,Unknown,"<!-- ANKI_LINKER_START -->
<div style='margin-top:15px;padding-top:10px;border-top:1px dashed #374151;font-size:0.85em;color:#9CA3AF;line-height:1.5;'><b>Words containing 悍:</b> [强悍|nid1779271702598]</div>
<!-- ANKI_LINKER_END -->",hàn,"In the Backyard, Indiana Jones (Harrison Ford), with a little heart and a ""dry"" wit, proves himself brave and fierce, a truly valiant adventurer.",-an,悍,[sound:hypertts-54dec0831d073c5d305f4b4c9115a9f194b33e78ec5923ed9b5383ac.mp3],4,Backyard [4],悍,intrepid; fierce and brave,[sound:hsk4_en_words_20.mp3],[sound:hsk4_ch_words_20.mp3]
1778227240458,migaku_import,Pikachu,"嗝屁, 屁事","[尸|nid1775412213782], [比|nid1775412213882]",fart,"<div class=""freq freq-basic"">basic</div>",,屁,1778227350,"<img src=""MBP_note_1778227240458.jpg"">",pi,,Unknown,"<!-- ANKI_LINKER_START -->
<div style='margin-top:15px;padding-top:10px;border-top:1px dashed #374151;font-size:0.85em;color:#9CA3AF;line-height:1.5;'><b>Words containing 屁:</b> [屁|nid1764369622121], [屁股|nid1763382215812], [马屁|nid1773583895295], [马屁精|nid1756545436886]</div>
<!-- ANKI_LINKER_END -->",pì,"Pikachu, writhing in the overgrown backyard, desperately tries to 比 (compare) the size of his bloated belly to a massive, putrid 尸 (corpse) lying prone, a look of pure agony on his face. With a sudden, explosive release, a monstrous fart rockets from him, its deafening roar and eye-watering stench not only making the rotting corpse shudder but also sending Pikachu airborne with the sheer force of its expulsion.",-i,屁,[sound:hypertts-3d430d04dbe29a8a83e5e6aa73aaf245cfa4f054a27cb80ec8c3b4bc.mp3],4,Backyard [4],屁,"(dialect) (loanword) to die; to give up the ghost, (vulgar) trifling matter",[sound:en_words_005997985e15155619ab08b92e6bde975bfc5612.mp3],[sound:zh_words_c25fe934bf9eb60f799521f9e150070644ef97a7.mp3]
1781004427277,n1_added,Yelena (Black Widow),"悠闲, 悠久","[攸|nid1775412213837], [心|nid1775412213818]","long, distant; leisurely, relaxed",,,悠,1781004447,"<img src=""mbp_悠_long.png"">",Y,Unknown,Unknown,,yōu,"In Front, Yelena (Black Widow) watches a repairman, with a long and distant gaze, leisurely fix a heart, feeling ""ou""-twardly relaxed.",-ou,悠,[sound:hypertts-3b9acf962ae91f2564436210f5fb3f3b6afa600b746f1e9526070cdb.mp3],1,In Front [1],悠,leisurely; long-standing,[sound:hsk4_en_words_21.mp3],[sound:hsk4_ch_words_21.mp3]
1778227240462,migaku_import,Branch Trolls (J. Timberlake),"蜘蛛, 盲蜘蛛","[虫|nid1775412213981], [知|nid1778231660974]",used in 蜘蛛[zhi1 zhu1],"<div class=""freq freq-basic"">basic</div>",,蜘,1778227351,"<img src=""MBP_note_1778227240462.jpg"">",zh,,Unknown,"<!-- ANKI_LINKER_START -->
<div style='margin-top:15px;padding-top:10px;border-top:1px dashed #374151;font-size:0.85em;color:#9CA3AF;line-height:1.5;'><b>Words containing 蜘:</b> [巨型, 蜘蛛|nid1753482222232], [蜘蛛侠|nid1769293127341]</div>
<!-- ANKI_LINKER_END -->",zhī,"Branch Trolls, spotlighted in front of a colossal, shimmering spiderweb, is mid-song when he suddenly *knows* (知) a colossal, hairy spider (虫) is directly above him. Its eight glowing eyes fixate as he frantically performs an acrobatic dodge, narrowly avoiding a sticky, silk-laden embrace.",-i,蜘,[sound:hypertts-cad3597775196f8597b399e975f6968ec65227a79bc0164af12a8222.mp3],1,In Front [1],蜘,"spider, harvestman (arachnid of the order Opiliones)",[sound:en_words_11d4ae8a5929ecbdf4d55f2cbdde3fe61987ecd3.mp3],[sound:zh_words_860b36513ee7b233e49225b925b31069a9c9ca9f.mp3]
